transaction_id,transaction_amount,location,merchant,age,gender,fraud_label
1,1000,New York,ABC Corp,35,M,0
2,500,Chicago,XYZ Inc,45,F,0
3,2000,Los Angeles,ABC Corp,28,M,1
4,1500,San Francisco,XYZ Inc,30,F,0
5,800,Chicago,ABC Corp,50,F,0
6,3000,New York,XYZ Inc,42,M,1
7,1200,San Francisco,ABC Corp,55,F,0
8,900,Los Angeles,XYZ Inc,37,M,0
9,2500,Chicago,ABC Corp,33,F,1
10,1800,New York,XYZ Inc,48,M,0
11,750,San Francisco,ABC Corp,29,F,0
12,2200,Chicago,XYZ Inc,51,M,0
13,900,New York,ABC Corp,40,F,0
14,1600,Los Angeles,XYZ Inc,26,M,0
15,3000,San Francisco,ABC Corp,45,F,1
16,1200,Chicago,XYZ Inc,34,M,0
17,800,New York,ABC Corp,47,F,0
18,1900,Los Angeles,XYZ Inc,32,M,0
19,1100,San Francisco,ABC Corp,52,F,0
20,4000,Chicago,XYZ Inc,38,M,1
21,900,New York,ABC Corp,31,F,0
22,1700,Los Angeles,XYZ Inc,49,M,0
23,1000,San Francisco,ABC Corp,36,F,0
24,2300,Chicago,XYZ Inc,27,M,1
25,950,New York,ABC Corp,41,F,0
26,1400,Los Angeles,XYZ Inc,54,M,0
27,2800,San Francisco,ABC Corp,39,F,1
28,1100,Chicago,XYZ Inc,44,M,0
29,750,New York,ABC Corp,30,F,0
30,2000,Los Angeles,XYZ Inc,46,M,0
31,1250,San Francisco,ABC Corp,35,F,0
32,2100,Chicago,XYZ Inc,43,M,0
33,950,New York,ABC Corp,56,F,0
34,1800,Los Angeles,XYZ Inc,29,M,0
35,3200,San Francisco,ABC Corp,48,F,1
36,1300,Chicago,XYZ Inc,37,M,0
37,900,New York,ABC Corp,51,F,0
38,2000,Los Angeles,XYZ Inc,33,M,0
39,1050,San Francisco,ABC Corp,42,F,0
40,2400,Chicago,XYZ Inc,26,M,0
41,800,New York,ABC Corp,45,F,0
42,1500,Los Angeles,XYZ Inc,31,M,0
43,2800,San Francisco,ABC Corp,50,F,1
44,1350,Chicago,XYZ Inc,28,M,0
45,920,New York,ABC Corp,47,F,0
46,2000,Los Angeles,XYZ Inc,36,M,0
47,1125,San Francisco,ABC Corp,52,F,0
48,1900,Chicago,XYZ Inc,38,M,1
49,850,New York,ABC Corp,32,F,0
50,1750,Los Angeles,XYZ Inc,49,M,0
51,950,San Francisco,ABC Corp,27,F,0
52,2300,Chicago,XYZ Inc,41,M,0
53,850,New York,ABC Corp,54,F,0
54,1600,Los Angeles,XYZ Inc,39,M,0
55,3000,San Francisco,ABC Corp,46,F,1
56,1250,Chicago,XYZ Inc,35,M,0
57,800,New York,ABC Corp,56,F,0
58,2200,Los Angeles,XYZ Inc,29,M,0
59,1050,San Francisco,ABC Corp,48,F,0
60,4000,Chicago,XYZ Inc,37,M,1
61,950,New York,ABC Corp,30,F,0
62,1700,Los Angeles,XYZ Inc,49,M,0
63,1000,San Francisco,ABC Corp,36,F,0
64,2800,Chicago,XYZ Inc,27,M,1
65,900,New York,ABC Corp,41,F,0
66,1400,Los Angeles,XYZ Inc,54,M,0
67,3200,San Francisco,ABC Corp,39,F,1
68,1100,Chicago,XYZ Inc,44,M,0
69,750,New York,ABC Corp,30,F,0
70,2000,Los Angeles,XYZ Inc,46,M,0
71,1250,San Francisco,ABC Corp,35,F,0
72,2100,Chicago,XYZ Inc,43,M,0
73,950,New York,ABC Corp,56,F,0
74,1800,Los Angeles,XYZ Inc,29,M,0
75,3200,San Francisco,ABC Corp,48,F,1
76,1300,Chicago,XYZ Inc,37,M,0
77,900,New York,ABC Corp,51,F,0
78,2000,Los Angeles,XYZ Inc,33,M,0
79,1050,San Francisco,ABC Corp,42,F,0
80,2400,Chicago,XYZ Inc,26,M,0
81,800,New York,ABC Corp,45,F,0
82,1500,Los Angeles,XYZ Inc,31,M,0
83,2800,San Francisco,ABC Corp,50,F,1
84,1350,Chicago,XYZ Inc,28,M,0
85,920,New York,ABC Corp,47,F,0
86,2000,Los Angeles,XYZ Inc,36,M,0
